asin,title,url,manufacturer,price,price_strikethrough,coupon_discount,rating,reviews_count,sales_volume,pos,best_seller,is_prime,is_sponsored,currency,coupon_discount_type,not_available,shipping_information,search_keyword,amazon_domain,size_value,size_unit,price_per_100unit_final
B0933P9T65,"Vegan Moroccan Shampoo Bar 100g by Procoal - Argan Oil, Aloe Vera, Almond Oil, SLS Free Eco Solid Shampoo Bar, Cruelty-Free",/Procoal-Moroccan-Shampoo-Solid-Cruelty-Free/dp/B0933P9T65/ref=sr_1_11?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-11,,8.99,,,4.5,936,100.0,11,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0798PWWGN,"Friendly Soap Handmade Natural Lavender & Geranium Shampoo Bar - Relaxing, Rich, Nourishing 95g, 1 unit",/Friendly-Soap-Moisturising-Plant-Based-Cruelty-Free/dp/B0798PWWGN/ref=sr_1_12?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-12,,4.46,,,3.9,1024,100.0,12,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0DTYNJZ6M,"Eco Warrior Deeply Nourishing Mini Shampoo Bar 50g | Vegan, Cruelty Free, Natural, No SLS or Parabens| Eco Friendly Cleansing Bar, ideal travel toilettries, plastic free and planet friendly",/Nourishing-Parabens-Friendly-Cleansing-toilettries/dp/B0DTYNJZ6M/ref=sr_1_13?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-13,,3.8,,,4.2,26,100.0,13,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B09M49JG1D,"Eco Warrior Men’s Edit Shampoo Bar, 100g | Natural, Vegan, Cruelty Free, Eco Friendly | Cleansing and Moisturising Shampoos with Argan and Coconut Essential Oils | No SLS or Parabens | Mens Gift",/Friendly-Cleansing-Moisturising-Shampoos-Essential/dp/B09M49JG1D/ref=sr_1_14?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-14,,5.5,,,4.5,672,300.0,14,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B08VCCNQLB,"FOAMIE Shampoo Bar, Coconut for Normal Hair, Plastic-Free, pH-Balanced, Soap-Free, No Sulphates or Parabens. Made in the UK.",/Plastic-Free-pH-Balanced-Soap-Free-Sulphates-Parabens/dp/B08VCCNQLB/ref=sr_1_15?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-15,,3.98,4.33,,4.4,821,100.0,15,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B098V7FYWF,"Garnier Ultimate Blends Marvellous Oils Nourishing Shampoo Bar for Dry, Dull Hair, 94% Plant Based Solid Shampoo with Argan & Camellia Oil, Vegan Formula, No Silicones, 60g",/Garnier-Ultimate-Marvellous-Nourishing-Silicones/dp/B098V7FYWF/ref=sr_1_16?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-16,,4.47,,,4.4,155,100.0,16,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B08FM3VF3B,"KinKind Anti Dandruff Shampoo Bar. CLEAR My Head! Anti Dandruff Shampoo for Women, Kids & Men. Natural Solid Shampoo Bar to control Flaky Scalp, Itchy Scalp & Redness. Vegan. UK made. 50 washes",/KinKind-Dandruff-Shampoo-shampoo-dandruff/dp/B08FM3VF3B/ref=sr_1_17?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-17,,6.76,7.95,,4.4,470,100.0,17,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B08HQN3HV6,"Kitsch Shampoo Bar Castor Oil – Solid Bar Shampoo for Hydration, Strengthening and Moisturizing, Organic Castor Oil for Dull & Dry Hair, Vegan, Paraben-Free, Hair Care, Made in USA, 3.2 oz",/Kitsch-Shampoo-Bar-Castor-Strengthening/dp/B08HQN3HV6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-18,,12.99,,,4.2,7132,300.0,18,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0BND44ZD3,"HXTMKT Rosemary Shampoo Bars, 2 Pack - Natural Solid Shampoo for Hair Growth, Nourishes Scalp and Treats Hair Loss - Vegan, Eco-Friendly, 60g Each",/Rosemary-Shampoo-Natural-Nourish-Friendly/dp/B0BND44ZD3/ref=sr_1_19?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-19,,6.2,7.29,,4.2,91,100.0,19,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0BRN9C551,"Pantene Nourish & Volume Vegan Shampoo Bar with Pro-vitamins, Solid Travel Toiletries for Damaged & Dry Hair (70G) Rich Lather, 97% Natural Origin, Cruelty Free & Recyclable Box",/Pantene-Nourish-Pro-vitamins-Toiletries-Recyclable/dp/B0BRN9C551/ref=sr_1_20?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-20,,5.65,,,4.6,79,50.0,20,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0CPLDSNHV,"3PCS Ginger Hair Regrowth Shampoo Bar, Organic Shampoo For Hair Loss, Ginger Shampoo, Anti Dandruff Shampoo Bars, Anti Itching Solid Shampoo Bar, Ginger Shampoo Bar",/Regrowth-Shampoo-Organic-Dandruff-Itching/dp/B0CPLDSNHV/ref=sr_1_21?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-21,,13.99,,5.0,4.3,54,50.0,21,False,False,False,GBP,percentage,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0124QOZYY,"Friendly Soap Handmade Natural Lavender & Tea Tree Shampoo Bar - Antibacterial, Rich, Nourishing 95g",/Friendly-Soap-Shampoo-Lavender-Tree/dp/B0124QOZYY/ref=sr_1_22?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-22,,6.01,,,4.2,757,50.0,22,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
